n,d,s,seed,case,sketch_err_logits_hs,sketch_err_output_hs,fp_err_logits_hs,fp_err_output_hs,total_err_logits_hs,total_err_output_hs,ref_logits_hs,ref_output_hs,runtime_ms
64,32,24,2,mixed_fp16_sk24,71.6447576598948,9.570506821033618,0.04181172070254484,0.007571580325163869,71.64287258963151,9.570094147491355,61.57011564292618,8.01745943188246,0.8682650004629977
64,32,32,2,mixed_fp16_sk32,59.851997261041916,7.982144057849921,0.03731427336817829,0.006584232118718007,59.85264223612997,7.981834159786715,61.57011564292618,8.01745943188246,0.6457279960159212
64,32,8,2,fp8_store_sk8,106.67362306247345,13.443976459908964,7.699918925871748,1.4396295035181617,105.4583270521685,13.11915203470428,61.57011564292618,8.01745943188246,0.9198639963869937
64,32,16,2,fp8_store_sk16,95.98324965069384,17.467059302124458,6.9348239116487465,1.5049551584322565,95.48825064166765,17.536513007342613,61.57011564292618,8.01745943188246,1.6085430033854209
64,32,24,2,fp8_store_sk24,71.6447576598948,9.570506821033618,5.362038533839573,1.0149533952968812,71.11037736248944,9.452876936573926,61.57011564292618,8.01745943188246,1.9324230015627109
64,32,32,2,fp8_store_sk32,59.851997261041916,7.982144057849921,4.708559801480016,0.8319186965562148,59.19014344236781,7.928669987335667,61.57011564292618,8.01745943188246,2.76467899675481
64,64,8,0,full_fp32_sk8,175.77133665791874,32.660958301469336,2.8718518252290866e-05,1.195835414104994e-05,175.77134065711596,32.66095901433175,63.11796325309083,12.595322125543614,0.6915400008438155
64,64,16,0,full_fp32_sk16,118.02630342700623,22.890009713007185,2.843471546461517e-05,1.1713272186265874e-05,118.02630301176816,22.890009297780153,63.11796325309083,12.595322125543614,0.4252220023772679
64,64,24,0,full_fp32_sk24,112.9996820253737,23.366200732304552,2.4730484546378395e-05,9.881919168752432e-06,112.99968160773933,23.366198261647078,63.11796325309083,12.595322125543614,0.17055200441973284
64,64,32,0,full_fp32_sk32,93.56988247989138,18.651242419426108,2.2834373873986263e-05,1.0295862576996584e-05,93.56988271666847,18.651242448003767,63.11796325309083,12.595322125543614,0.47030599671415985
64,64,8,0,full_fp16_sk8,175.77133665791874,32.660958301469336,0.10126477428711282,0.036520590024912196,175.76541121885077,32.66060502023945,63.11796325309083,12.595322125543614,1.1514709985931404
64,64,16,0,full_fp16_sk16,118.02630342700623,22.890009713007185,0.0698362649424675,0.025090372883205016,118.03103433411208,22.891165214891192,63.11796325309083,12.595322125543614,1.0881389971473254
64,64,24,0,full_fp16_sk24,112.9996820253737,23.366200732304552,0.06576042812316028,0.02249741787130482,113.00260254652672,23.36721247616557,63.11796325309083,12.595322125543614,1.198311998450663
64,64,32,0,full_fp16_sk32,93.56988247989138,18.651242419426108,0.055786974042972164,0.02661850899409835,93.56902880795454,18.65305296635917,63.11796325309083,12.595322125543614,1.203494000947103
64,64,8,0,mixed_fp16_sk8,175.77133665791874,32.660958301469336,0.09332384312932934,0.02693004496905349,175.7642708907343,32.66134832412696,63.11796325309083,12.595322125543614,0.7886630046414211
64,64,16,0,mixed_fp16_sk16,118.02630342700623,22.890009713007185,0.06398441109152629,0.019346866804493348,118.03120700961443,22.890079256683528,63.11796325309083,12.595322125543614,0.5809440044686198
64,64,24,0,mixed_fp16_sk24,112.9996820253737,23.366200732304552,0.0597323989880969,0.015572656563405231,113.00280154329708,23.366041910390944,63.11796325309083,12.595322125543614,0.8254929998656735
64,64,32,0,mixed_fp16_sk32,93.56988247989138,18.651242419426108,0.050936821261141026,0.01723040770447247,93.56876572126812,18.653600281275356,63.11796325309083,12.595322125543614,0.7379110029432923
64,64,8,0,fp8_store_sk8,175.77133665791874,32.660958301469336,12.11702558009874,3.118709945084203,176.11023629505686,32.75586205663872,63.11796325309083,12.595322125543614,3.3858220049296506
64,64,16,0,fp8_store_sk16,118.02630342700623,22.890009713007185,8.445097784945016,2.8365096566960513,117.74226764555021,23.027794814562377,63.11796325309083,12.595322125543614,3.3221170015167445
64,64,24,0,fp8_store_sk24,112.9996820253737,23.366200732304552,7.573114253185077,2.579177669424916,112.7497940536427,23.117521846137564,63.11796325309083,12.595322125543614,4.843973998504225
64,64,32,0,fp8_store_sk32,93.56988247989138,18.651242419426108,6.759953152709708,2.0843238354620777,93.09382564953118,18.486397203481296,63.11796325309083,12.595322125543614,6.510184997750912
64,64,8,1,full_fp32_sk8,173.6235474163574,33.45672004898814,3.081422941544436e-05,1.398249281003505e-05,173.6235450607089,33.45671811479401,62.43388823895861,12.430217540618825,0.8916529986890964
64,64,16,1,full_fp32_sk16,114.02141622178851,26.964468773318398,2.5922438233404772e-05,1.1349424450031145e-05,114.02141628045331,26.964469925692217,62.43388823895861,12.430217540618825,0.43991200072923675
64,64,24,1,full_fp32_sk24,108.38731278912697,21.93353323523412,2.319865681422245e-05,1.0689181792062078e-05,108.38731327075715,21.933531474576544,62.43388823895861,12.430217540618825,0.40303200512425974
64,64,32,1,full_fp32_sk32,94.57492289942971,19.16677435029567,2.4296409552499915e-05,1.0911416049070552e-05,94.57492375901046,19.16677497197239,62.43388823895861,12.430217540618825,0.9260020015062764
64,64,8,1,full_fp16_sk8,173.6235474163574,33.45672004898814,0.10244243764964354,0.04436420790913219,173.61968034111547,33.45167473863689,62.43388823895861,12.430217540618825,0.9874829993350431
64,64,16,1,full_fp16_sk16,114.02141622178851,26.964468773318398,0.06584950269761944,0.02704662464218561,114.02218912812147,26.967921128043077,62.43388823895861,12.430217540618825,1.591348998772446
64,64,24,1,full_fp16_sk24,108.38731278912697,21.93353323523412,0.06332806647383106,0.02486622839627529,108.38334408188129,21.928074605865117,62.43388823895861,12.430217540618825,1.0789090010803193
64,64,32,1,full_fp16_sk32,94.57492289942971,19.16677435029567,0.05787450639142268,0.021252625849119255,94.57776216422313,19.164355573440446,62.43388823895861,12.430217540618825,1.6463049978483468
64,64,8,1,mixed_fp16_sk8,173.6235474163574,33.45672004898814,0.09490468953744502,0.033601490485076296,173.61814671770145,33.453833169708744,62.43388823895861,12.430217540618825,0.47998499940149486
64,64,16,1,mixed_fp16_sk16,114.02141622178851,26.964468773318398,0.06067433478031246,0.01776162468344999,114.02215508556124,26.964585727933777,62.43388823895861,12.430217540618825,0.4434240036061965
64,64,24,1,mixed_fp16_sk24,108.38731278912697,21.93353323523412,0.05701124099054828,0.01629180936428622,108.38344450584707,21.93072644745636,62.43388823895861,12.430217540618825,0.8713120041647926
64,64,32,1,mixed_fp16_sk32,94.57492289942971,19.16677435029567,0.05277199317255554,0.014280789297373466,94.57883319471748,19.16727679148746,62.43388823895861,12.430217540618825,1.01585200172849
64,64,8,1,fp8_store_sk8,173.6235474163574,33.45672004898814,12.222228713209088,4.126713358521966,173.95473005792414,33.60701771250731,62.43388823895861,12.430217540618825,2.0292259941925295
64,64,16,1,fp8_store_sk16,114.02141622178851,26.964468773318398,7.769671770257041,2.354223150560049,113.29581018605325,26.83463749326546,62.43388823895861,12.430217540618825,6.165523998788558
64,64,24,1,fp8_store_sk24,108.38731278912697,21.93353323523412,7.469648259738605,2.5818251892990465,107.8365428370803,22.010511849377497,62.43388823895861,12.430217540618825,4.059617000166327
64,64,32,1,fp8_store_sk32,94.57492289942971,19.16677435029567,6.5024394495440685,2.2088220463752024,94.53336346547759,19.002518850824035,62.43388823895861,12.430217540618825,4.287442003260367
